,is_male,has_eaten,sd,wt,dp_mins,bac,class,id_code
77,0,0,4.0,55.0,124.0,0.10842139764996908,over,2957.74
78,1,1,6.0,91.0,88.0,0.09545073891625618,over,4586.22
79,1,1,8.0,60.0,106.0,0.20334482758620695,over,10346.18
80,0,0,2.0,68.0,91.0,0.0322718887555022,under,399.4
81,1,1,3.0,79.0,94.0,0.04732605848974247,under,1054.33
82,0,1,5.0,70.0,134.0,0.11152458697764822,over,5230.5
83,1,1,3.0,78.0,84.0,0.050637931034482775,under,995.34
84,1,0,6.0,70.0,88.0,0.12093596059113304,over,4469.79
85,1,0,5.0,75.0,89.0,0.08892241379310345,over,2967.79
86,0,0,3.0,70.0,93.0,0.058244752186588936,under,1137.52
87,0,0,4.0,72.0,116.0,0.07679319727891157,under,2565.51
88,1,0,7.0,75.0,141.0,0.12039137931034483,over,8911.97
89,1,1,3.0,81.0,98.0,0.04476245210727971,under,1065.97
90,1,0,6.0,67.0,76.0,0.13033607822954196,over,3982.03
91,1,0,7.0,79.0,85.0,0.12651080314273244,over,5946.64
92,0,0,2.0,75.0,137.0,0.013820068027210891,under,284.0
93,1,0,5.0,91.0,88.0,0.06962561576354681,under,2787.81
94,1,1,9.0,80.0,98.0,0.1706034482758621,over,12037.78
95,0,1,5.0,50.0,74.0,0.18492108843537416,over,3421.04
96,0,1,4.0,61.0,88.0,0.11300126017620163,over,2426.36
97,0,0,4.0,68.0,90.0,0.09061044417767108,over,2218.14
98,1,1,4.0,70.0,77.0,0.08354064039408869,over,1801.14
99,1,0,6.0,70.0,96.0,0.11893596059113304,over,4795.5
100,0,0,2.0,66.0,100.0,0.03148113790970935,under,415.55
101,1,1,10.0,80.0,83.0,0.19519827586206898,over,12961.17
102,1,1,4.0,85.0,109.0,0.05872464503042597,under,2176.34
103,1,0,5.0,81.0,75.0,0.0841874201787995,over,2557.19
104,0,1,3.0,57.0,85.0,0.08830495882563552,over,1283.51
105,1,0,8.0,59.0,117.0,0.19686338398597314,over,10871.58
106,0,1,4.0,71.0,78.0,0.0976043690715723,over,2162.13
107,1,1,6.0,100.0,107.0,0.08080517241379312,over,5187.69
108,0,1,6.0,66.0,87.0,0.16329341372912806,over,5625.78
109,1,1,3.0,79.0,87.0,0.049076058489742475,under,1011.9
110,1,1,7.0,62.0,79.0,0.1760258620689655,over,6035.22
111,1,1,6.0,112.0,132.0,0.06383497536945815,under,5662.42
112,1,0,2.0,75.0,100.0,0.01946896551724138,under,292.03
113,0,0,2.0,66.0,90.0,0.03431447124304268,under,407.66
114,1,1,5.0,80.0,69.0,0.0944741379310345,over,2607.49
115,1,1,6.0,88.0,111.0,0.09344905956112853,over,5476.86
116,1,1,3.0,79.0,59.0,0.056076058489742474,under,784.11
117,0,0,4.0,74.0,92.0,0.08062941717227433,over,2195.7
118,0,0,4.0,77.0,86.0,0.07817242689283507,under,2070.63
119,1,0,6.0,81.0,71.0,0.1057749042145594,over,3649.87
120,0,0,3.0,71.0,60.0,0.06640327680367922,under,848.63
121,0,0,2.0,80.0,91.0,0.02356360544217687,under,343.09
122,1,0,5.0,75.0,87.0,0.08942241379310345,over,2917.41
123,0,0,1.0,64.0,74.0,0.009875170068027211,under,46.77
124,1,0,7.0,79.0,66.0,0.13126080314273242,over,4790.76
125,1,1,5.0,83.0,76.0,0.08895700041545494,over,2805.7
126,0,0,3.0,62.0,117.0,0.06236020408163266,under,1357.08
127,0,0,4.0,62.0,125.0,0.09193027210884352,over,2849.84
128,0,0,3.0,75.0,106.0,0.048921768707483,under,1166.78
129,0,1,4.0,61.0,91.0,0.11215126017620163,over,2490.21
130,1,1,7.0,98.0,74.0,0.10811330049261085,over,5488.26
131,1,1,6.0,79.0,88.0,0.11215211697948495,over,4678.09
132,1,1,8.0,79.0,85.0,0.1551194893059799,over,8333.02
133,1,1,8.0,72.0,84.0,0.17178735632183909,over,8311.76
134,1,1,5.0,83.0,125.0,0.07670700041545495,under,3979.18
135,0,0,3.0,46.0,97.0,0.10124781129843244,over,1355.3
136,0,1,4.0,68.0,120.0,0.09061044417767108,over,2957.52
137,1,1,4.0,66.0,113.0,0.08031583072100315,over,2395.98
138,1,1,7.0,89.0,100.0,0.11365846571096476,over,7080.92
139,1,0,6.0,77.0,117.0,0.10069178235557547,over,5442.79
140,0,1,5.0,65.0,114.0,0.12803673469387755,over,4743.76
141,0,1,3.0,63.0,68.0,0.08322750242954324,over,1069.64
142,0,0,3.0,70.0,93.0,0.058244752186588936,under,1137.52
143,1,0,6.0,68.0,77.0,0.1278899594320487,over,4017.79
144,1,0,6.0,94.0,96.0,0.08244167278063097,over,4463.72
145,0,1,6.0,56.0,80.0,0.19732021379980566,over,5303.97
146,1,1,7.0,76.0,73.0,0.1428434664246824,over,5547.47
147,1,1,6.0,59.0,73.0,0.15883503798947984,over,4104.62
148,1,1,4.0,93.0,66.0,0.0627241379310345,under,1540.0
149,0,0,4.0,58.0,80.0,0.11346281961060287,over,2105.87
150,1,1,7.0,90.0,68.0,0.12020114942528738,over,5149.42
151,0,1,4.0,62.0,96.0,0.10864693877551021,over,2586.67
152,1,1,3.0,94.0,63.0,0.04497083639031549,under,798.95
153,1,1,7.0,74.0,93.0,0.1419946411929171,over,6840.45
154,0,0,2.0,67.0,104.0,0.029455051274241043,under,410.49
155,0,1,2.0,67.0,118.0,0.033988384607574376,under,537.42
156,0,0,4.0,63.0,78.0,0.10322555879494655,over,2029.0
157,1,1,6.0,94.0,85.0,0.09269167278063098,over,4443.64
158,1,0,8.0,80.0,91.0,0.1440086206896552,over,8387.06
159,1,1,6.0,80.0,71.0,0.1148189655172414,over,3913.03
160,0,0,3.0,74.0,104.0,0.05055539621253907,under,1167.22
161,0,1,2.0,66.0,59.0,0.051597804576376013,under,401.84
162,0,1,5.0,60.0,87.0,0.14833979591836738,over,3871.67
163,1,0,6.0,83.0,106.0,0.09404840049854593,over,4964.63
164,1,1,10.0,91.0,121.0,0.16050123152709364,over,17672.79
165,1,1,8.0,72.0,97.0,0.16853735632183908,over,9416.52
166,1,0,4.0,82.0,92.0,0.0583456686291001,under,1760.64
167,1,1,7.0,91.0,81.0,0.11552586206896555,over,5960.79
168,0,1,4.0,63.0,95.0,0.10690889212827989,over,2559.4
169,1,1,7.0,79.0,61.0,0.14001080314273243,over,4722.98
170,1,1,9.0,76.0,94.0,0.18147731397459166,over,11668.27
171,0,0,2.0,76.0,70.0,0.03211081274615109,under,341.66
172,0,0,2.0,68.0,128.0,0.02178855542216887,under,379.3
173,0,1,5.0,64.0,68.0,0.14344251700680272,over,3121.31
174,1,1,6.0,68.0,119.0,0.1248899594320487,over,6063.66
175,1,0,4.0,86.0,67.0,0.06081214915797917,under,1401.6
176,0,1,3.0,63.0,85.0,0.07841083576287658,under,1259.67
177,1,0,3.0,82.0,76.0,0.042009251471825076,under,785.4
178,1,0,5.0,65.0,108.0,0.10127586206896555,over,3554.78
179,1,0,8.0,81.0,119.0,0.13494987228607921,over,10406.25
180,0,1,5.0,65.0,85.0,0.13625340136054423,over,3764.0
181,1,0,7.0,81.0,89.0,0.12186238825031931,over,6149.54
182,0,0,6.0,75.0,117.0,0.12476020408163267,over,6568.62
183,0,1,3.0,71.0,128.0,0.05563661013701255,under,1516.88
184,0,1,4.0,59.0,111.0,0.11087220684884125,over,2904.41
185,1,0,5.0,73.0,100.0,0.08921823334907891,over,3256.47
186,1,1,8.0,81.0,112.0,0.14419987228607922,over,10465.45
187,0,1,4.0,62.0,94.0,0.10921360544217687,over,2545.99
188,0,1,6.0,63.0,83.0,0.17297167152575316,over,5426.81
189,0,1,2.0,71.0,109.0,0.03321885120245281,under,514.16
190,1,0,7.0,96.0,105.0,0.09534482758620692,over,6727.53
191,0,1,2.0,72.0,82.0,0.040096598639455784,under,473.46
192,1,0,7.0,76.0,92.0,0.13059346642468242,over,6391.77
193,1,0,9.0,82.0,73.0,0.16477775441547524,over,8877.24
194,0,0,3.0,55.0,96.0,0.08046604823747681,over,1274.58
195,1,0,2.0,95.0,71.0,0.01735707803992741,under,234.15
196,0,1,2.0,64.0,82.0,0.046950340136054425,under,492.79
197,1,0,6.0,75.0,91.0,0.11065689655172414,over,4531.4
198,1,1,7.0,74.0,102.0,0.1397446411929171,over,7383.55
199,0,1,3.0,72.0,97.0,0.06326156462585034,under,1325.46
200,0,1,4.0,64.0,89.0,0.10665068027210885,over,2429.93
201,1,0,7.0,67.0,85.0,0.15297542460113228,over,6098.37
202,1,1,11.0,59.0,85.0,0.29715590298071304,over,16392.61
203,1,0,10.0,103.0,113.0,0.13365157348510215,over,15555.71
204,0,1,4.0,52.0,106.0,0.13030340136054425,over,2872.93
205,1,0,10.0,83.0,81.0,0.1806640008309099,over,12146.04
206,0,1,4.0,63.0,99.0,0.10577555879494656,over,2638.89
207,0,0,5.0,65.0,84.0,0.12803673469387755,over,3495.4
208,0,1,4.0,72.0,78.0,0.09605986394557824,over,2157.89
209,1,1,6.0,72.0,84.0,0.1254655172413793,over,4552.89
210,0,1,3.0,63.0,84.0,0.07869416909620991,under,1249.35
211,0,0,3.0,74.0,93.0,0.05367206287920574,under,1108.11
212,1,1,4.0,98.0,58.0,0.06106474313863477,under,1388.37
213,0,1,2.0,50.0,64.0,0.069321768707483,under,443.66
214,1,1,11.0,90.0,56.0,0.19731609195402297,over,10939.2
215,0,1,2.0,51.0,94.0,0.05927362945178072,under,568.32
216,1,1,6.0,75.0,85.0,0.11965689655172414,over,4576.88
217,1,1,8.0,72.0,63.0,0.1770373563218391,over,6424.33
218,0,1,3.0,56.0,81.0,0.09129344023323616,over,1242.32
219,1,0,7.0,77.0,103.0,0.12584874608150473,over,6986.74
220,0,1,3.0,68.0,101.0,0.06696616646658664,under,1379.77
221,1,0,5.0,89.0,92.0,0.07068461836497483,under,2893.83
222,0,0,2.0,75.0,124.0,0.017503401360544214,under,325.56
223,0,1,5.0,72.0,144.0,0.10477482993197279,over,5431.53
224,0,1,3.0,66.0,92.0,0.07215504019789735,under,1314.38
225,0,1,4.0,68.0,46.0,0.11157711084433775,over,1396.05
226,1,1,10.0,79.0,71.0,0.2008368616324749,over,11264.94
227,0,1,3.0,69.0,98.0,0.06655409642117717,under,1350.12
228,1,0,6.0,95.0,132.0,0.07232123411978222,under,5441.45
229,1,0,8.0,79.0,72.0,0.15086948930597993,over,6865.17
230,0,0,4.0,66.0,104.0,0.0901622758194187,over,2475.5
231,0,0,2.0,72.0,104.0,0.02536326530612245,under,379.84
232,0,0,4.0,79.0,103.0,0.07075983380694051,under,2303.09
233,1,1,6.0,88.0,112.0,0.09319905956112853,over,5511.42
234,1,0,8.0,69.0,54.0,0.1798433283358321,over,5360.77
235,1,1,6.0,56.0,120.0,0.1561699507389163,over,6296.77
236,0,0,3.0,68.0,132.0,0.04968283313325331,under,1337.86
237,0,0,4.0,64.0,95.0,0.09645068027210885,over,2345.68
238,0,0,3.0,70.0,130.0,0.0477614188532556,under,1303.89
239,1,0,7.0,75.0,94.0,0.13214137931034484,over,6521.18
240,0,0,4.0,66.0,103.0,0.09044560915275204,over,2459.4
241,0,1,3.0,63.0,108.0,0.07189416909620991,under,1467.5
242,0,0,5.0,64.0,84.0,0.13040918367346938,over,3505.4
243,1,0,6.0,98.0,98.0,0.07759711470795216,under,4471.46
244,0,1,3.0,69.0,105.0,0.06457076308784383,under,1403.45
245,0,0,2.0,75.0,83.0,0.02912006802721089,under,362.54
246,0,1,4.0,80.0,66.0,0.08849387755102041,over,1868.99
247,1,1,6.0,82.0,99.0,0.10476850294365014,over,5103.06
248,1,1,6.0,68.0,113.0,0.1263899594320487,over,5827.08
249,0,1,4.0,75.0,72.0,0.09337346938775512,over,2016.87
250,0,1,3.0,64.0,111.0,0.06957551020408165,under,1482.79
251,0,1,4.0,55.0,107.0,0.12173806431663575,over,2865.71
252,0,0,2.0,59.0,119.0,0.03319443675775395,under,466.12
253,1,1,5.0,68.0,97.0,0.10586663286004058,over,3491.48
254,1,1,7.0,64.0,77.0,0.17064224137931036,over,5886.47
255,0,1,3.0,77.0,66.0,0.0667043201696263,under,1016.97
256,0,0,6.0,59.0,92.0,0.17466664360659517,over,5688.54
257,0,1,3.0,62.0,91.0,0.07822687074829933,under,1324.07
258,0,0,3.0,72.0,93.0,0.055894897959183676,under,1122.82
259,1,0,4.0,101.0,110.0,0.03854301809491295,under,1712.85
260,1,0,6.0,81.0,75.0,0.1047749042145594,over,3819.05
261,1,0,6.0,78.0,80.0,0.10827586206896556,over,4053.85
262,0,1,4.0,60.0,89.0,0.11487517006802721,over,2453.73
263,1,0,4.0,69.0,104.0,0.07067166416791607,under,2028.56
264,0,1,4.0,73.0,117.0,0.08350767402851553,over,2852.96
265,0,1,3.0,71.0,109.0,0.06101994347034588,under,1416.7
266,1,0,9.0,84.0,81.0,0.1584199507389163,over,9701.0
267,0,1,4.0,63.0,137.0,0.09500889212827988,over,3280.09
268,1,1,5.0,75.0,53.0,0.10542241379310345,over,2095.27
269,1,1,5.0,77.0,54.0,0.10228481862964622,over,2126.5
270,1,0,6.0,54.0,85.0,0.16403735632183913,over,4517.59
271,0,0,5.0,66.0,96.0,0.12233617810760669,over,3875.61
272,1,1,9.0,74.0,74.0,0.19181453867660767,over,9453.39
273,0,0,3.0,71.0,92.0,0.05733661013701255,under,1123.57
274,0,1,4.0,69.0,116.0,0.09006101745045844,over,2883.39
275,1,0,7.0,65.0,109.0,0.15233620689655175,over,7555.11
276,1,0,6.0,86.0,65.0,0.10009322373696874,over,3357.13
277,0,1,5.0,69.0,76.0,0.13000127181307305,over,3408.63
278,1,1,6.0,82.0,93.0,0.10626850294365014,over,4862.42
279,1,0,6.0,79.0,116.0,0.09765211697948495,over,5369.3
280,0,1,3.0,64.0,78.0,0.07892551020408164,under,1181.99
281,1,1,6.0,64.0,105.0,0.13758620689655177,over,5547.48
282,0,1,4.0,60.0,107.0,0.1097751700680272,over,2819.03
283,0,1,3.0,72.0,71.0,0.07062823129251701,under,1083.15
284,1,1,6.0,69.0,97.0,0.1282574962518741,over,5150.56
285,1,0,6.0,63.0,104.0,0.1328177339901478,over,5221.33
286,1,0,6.0,76.0,65.0,0.11540154264972778,over,3420.5
287,0,0,3.0,49.0,113.0,0.08883297931417466,over,1475.6
288,1,1,3.0,107.0,82.0,0.03375475346438931,under,888.49
289,0,0,3.0,62.0,117.0,0.06236020408163266,under,1357.08
290,1,1,9.0,81.0,111.0,0.1650373563218391,over,13354.66
291,1,1,5.0,86.0,122.0,0.07395268644747396,under,3879.56
292,0,1,4.0,51.0,91.0,0.13753059223689476,over,2553.12
293,0,1,3.0,57.0,126.0,0.07668829215896886,under,1652.33
294,1,1,5.0,74.0,92.0,0.09717474370922649,over,3307.83
295,1,1,8.0,79.0,56.0,0.1623694893059799,over,5746.58
296,0,1,2.0,67.0,80.0,0.044755051274241044,under,479.77
297,1,0,2.0,86.0,121.0,0.008531074578989585,under,177.55
298,1,0,9.0,68.0,109.0,0.19345993914807305,over,12905.33
299,1,0,5.0,76.0,61.0,0.09445961887477315,over,2189.57
300,0,1,4.0,68.0,100.0,0.09627711084433774,over,2618.74
301,1,0,9.0,79.0,104.0,0.16397817546922744,over,12125.2
302,0,1,4.0,60.0,80.0,0.11742517006802722,over,2254.56
303,1,0,3.0,85.0,116.0,0.029855983772819485,under,883.14
304,1,1,8.0,76.0,103.0,0.15728539019963705,over,9849.84
305,0,0,3.0,66.0,82.0,0.06648837353123069,under,1079.51
306,1,0,7.0,72.0,91.0,0.13937643678160921,over,6392.36
307,1,0,4.0,65.0,81.0,0.08237068965517243,over,1734.73
308,0,0,4.0,61.0,62.0,0.11186792684286828,over,1692.34
309,0,1,3.0,73.0,72.0,0.06921825552138666,under,1091.43
310,0,0,3.0,73.0,130.0,0.04428492218805332,under,1260.79
311,1,0,7.0,80.0,71.0,0.1281637931034483,over,5095.79
312,0,0,4.0,64.0,68.0,0.10410068027210885,over,1812.18
313,1,0,8.0,77.0,56.0,0.15925570980743395,over,5493.68
314,1,1,4.0,81.0,87.0,0.06809993614303961,under,1919.6
315,0,0,3.0,50.0,72.0,0.0980326530612245,over,1058.75
316,1,0,9.0,67.0,119.0,0.19425411734431294,over,13939.09
317,0,0,3.0,61.0,71.0,0.07695927846548456,under,999.93
318,0,0,2.0,65.0,133.0,0.02305136054421769,under,398.56
319,1,0,4.0,72.0,94.0,0.06914367816091954,under,1871.86
320,0,0,4.0,78.0,125.0,0.06580782312925171,under,2566.51
321,1,1,8.0,86.0,96.0,0.13862429831595835,over,9155.86
322,1,1,3.0,79.0,77.0,0.05157605848974248,under,941.21
323,1,1,5.0,70.0,112.0,0.09861330049261086,over,3865.64
324,0,1,4.0,63.0,92.0,0.10775889212827988,over,2498.28
325,0,1,2.0,79.0,80.0,0.03580491690347025,under,452.57
326,0,0,4.0,58.0,103.0,0.1069461529439362,over,2555.59
327,1,1,7.0,77.0,103.0,0.13334874608150474,over,7403.12
328,1,0,8.0,94.0,110.0,0.11442223037417465,over,9465.01
329,1,0,6.0,71.0,92.0,0.11792277804759593,over,4621.63
330,1,1,4.0,73.0,97.0,0.07462458667926312,under,2113.67
331,0,1,3.0,63.0,105.0,0.07274416909620991,under,1443.61
332,0,0,3.0,67.0,62.0,0.0708159102446949,under,882.51
333,0,0,3.0,75.0,99.0,0.05090510204081633,under,1133.91
334,0,0,5.0,64.0,55.0,0.13862585034013605,over,2439.81
335,1,0,8.0,65.0,86.0,0.18374137931034487,over,8216.91
336,0,0,3.0,70.0,91.0,0.058811418853255595,under,1123.89
337,1,1,11.0,73.0,93.0,0.23553011336797358,over,17589.15
338,0,0,4.0,61.0,100.0,0.10110126017620162,over,2466.87
339,1,0,5.0,77.0,100.0,0.08328481862964623,over,3206.47
340,0,0,4.0,55.0,133.0,0.10587139764996908,over,3097.8
341,1,1,8.0,73.0,84.0,0.16924917335852624,over,8302.69
342,0,0,2.0,57.0,84.0,0.045458861439312576,under,435.31
343,0,1,3.0,66.0,102.0,0.06932170686456403,under,1400.02
344,0,1,3.0,75.0,110.0,0.05628843537414967,under,1393.14
345,0,0,4.0,68.0,92.0,0.09004377751100441,over,2253.26
346,1,0,7.0,82.0,75.0,0.12360492010092518,over,5321.19
347,1,0,5.0,76.0,63.0,0.09395961887477315,over,2249.39
348,1,0,6.0,65.0,106.0,0.12743103448275866,over,5268.0
349,0,1,5.0,58.0,124.0,0.1435285245132536,over,5161.29
350,0,1,4.0,67.0,95.0,0.09942676921514876,over,2531.41
351,1,1,7.0,74.0,82.0,0.14474464119291708,over,6148.17
352,1,0,9.0,91.0,101.0,0.13967610837438427,over,11553.87
353,1,0,6.0,84.0,90.0,0.09661330049261085,over,4382.38
354,0,1,4.0,81.0,91.0,0.08019210128495845,over,2364.38
355,0,1,4.0,74.0,98.0,0.08742941717227433,over,2536.15
356,1,1,9.0,72.0,74.0,0.19744827586206898,over,9468.04
357,1,0,7.0,71.0,103.0,0.13865990772219525,over,7098.14
358,1,0,9.0,68.0,101.0,0.19545993914807305,over,12081.77
359,0,1,3.0,70.0,57.0,0.07694475218658893,under,921.03
360,1,1,6.0,91.0,94.0,0.09395073891625617,over,4821.93
361,1,1,8.0,77.0,74.0,0.16225570980743395,over,7396.26
362,1,1,3.0,86.0,122.0,0.03517161186848437,under,1107.06
363,1,0,8.0,78.0,94.0,0.14753448275862072,over,8653.78
364,1,0,5.0,68.0,97.0,0.09836663286004058,over,3244.13
365,1,0,9.0,65.0,110.0,0.20339655172413798,over,13088.57
366,1,0,5.0,83.0,67.0,0.08370700041545494,over,2327.47
367,0,0,3.0,67.0,115.0,0.055799243578028235,under,1289.8
368,0,0,3.0,75.0,83.0,0.055438435374149664,under,1035.31
369,1,1,7.0,79.0,103.0,0.12951080314273244,over,7376.81
370,0,1,5.0,62.0,75.0,0.14643367346938777,over,3404.58
371,0,0,4.0,56.0,83.0,0.11747458697764822,over,2184.09
372,1,1,7.0,80.0,85.0,0.13216379310344828,over,6291.0
373,0,1,4.0,69.0,86.0,0.09856101745045845,over,2339.44
374,1,1,7.0,77.0,83.0,0.13834874608150471,over,6189.31
375,0,1,3.0,52.0,94.0,0.09574421768707483,over,1403.99
376,1,0,8.0,68.0,95.0,0.17243661257606493,over,8911.52
377,1,1,4.0,72.0,120.0,0.07014367816091954,under,2424.17
378,1,0,10.0,69.0,129.0,0.20942916041979015,over,18641.29
379,0,1,4.0,76.0,100.0,0.08405495882563552,over,2555.27
380,1,0,5.0,93.0,86.0,0.06815517241379312,under,2725.53
381,1,1,6.0,85.0,106.0,0.09871196754563896,over,5336.37
382,0,1,5.0,62.0,80.0,0.14501700680272112,over,3596.42
383,1,1,7.0,71.0,91.0,0.14915990772219526,over,6746.06
384,1,0,4.0,76.0,106.0,0.061267695099818525,under,1974.29
385,1,1,8.0,74.0,72.0,0.16977958993476236,over,7236.69
386,1,0,7.0,73.0,88.0,0.13790552668871048,over,6201.34
387,1,1,8.0,62.0,126.0,0.19117241379310346,over,11947.51
388,1,0,11.0,94.0,119.0,0.1653930667644901,over,20350.96
389,0,1,3.0,73.0,89.0,0.06440158885471998,under,1255.25
390,0,1,3.0,68.0,107.0,0.06526616646658664,under,1424.63
391,1,0,10.0,75.0,99.0,0.19759482758620692,over,14671.42
392,1,1,6.0,86.0,98.0,0.09934322373696874,over,5023.59
393,0,1,1.0,66.0,102.0,0.00950723562152134,under,64.0
394,0,0,3.0,56.0,83.0,0.08222677356656949,over,1146.57
395,0,1,4.0,51.0,98.0,0.13554725890356145,over,2709.86
396,1,1,3.0,96.0,120.0,0.029612068965517255,under,1023.39
397,1,0,9.0,60.0,113.0,0.2218879310344828,over,13539.6
398,1,0,9.0,74.0,112.0,0.17481453867660768,over,13039.77
399,1,1,5.0,78.0,137.0,0.08014655172413795,over,4282.23
400,0,1,4.0,69.0,112.0,0.09119435078379179,over,2819.0
401,1,0,9.0,66.0,118.0,0.1978981191222571,over,13871.07
402,1,0,9.0,75.0,82.0,0.17961034482758623,over,9941.43
403,0,0,3.0,79.0,120.0,0.04095737535520537,under,1164.83
404,1,1,9.0,81.0,131.0,0.1600373563218391,over,15283.41
405,0,0,5.0,72.0,95.0,0.11015816326530611,over,3767.41
406,0,1,3.0,65.0,116.0,0.06673537414965988,under,1509.55
407,0,1,3.0,64.0,103.0,0.07184217687074831,under,1420.75
408,0,1,3.0,72.0,91.0,0.06496156462585034,under,1276.88
409,0,0,3.0,69.0,109.0,0.054937429754510506,under,1239.55
410,1,1,7.0,72.0,104.0,0.14362643678160922,over,7528.32
