emp_length,annual_inc,open_acc,cr_history_yrs,grade,home_ownership,purpose,addr_state,loan_status
9,65000.0,8.0,19,D,MORTGAGE,other,PA,1
10,55000.0,7.0,14,D,RENT,debt_consolidation,RI,1
10,45600.0,6.0,22,A,MORTGAGE,debt_consolidation,LA,1
6,80000.0,7.0,19,B,RENT,small_business,MA,1
10,100000.0,17.0,23,A,MORTGAGE,debt_consolidation,OH,0
6,27000.0,7.0,11,B,RENT,other,NY,1
10,60000.0,11.0,25,A,RENT,credit_card,CT,1
5,70000.0,5.0,16,A,RENT,debt_consolidation,CT,1
8,80000.0,9.0,26,B,MORTGAGE,debt_consolidation,IL,0
9,110000.0,11.0,19,B,RENT,credit_card,CA,1
1,40000.0,7.0,14,B,RENT,debt_consolidation,CA,1
4,50000.0,11.0,11,C,RENT,car,CA,0
1,46000.0,11.0,18,B,RENT,credit_card,TX,1
7,50000.0,7.0,19,E,RENT,debt_consolidation,WA,0
7,81000.0,12.0,19,E,RENT,credit_card,MA,1
1,39000.0,5.0,13,B,OWN,debt_consolidation,OR,1
2,51400.0,10.0,17,B,RENT,credit_card,TX,1
1,33000.0,4.0,11,D,MORTGAGE,debt_consolidation,TX,1
1,30000.0,17.0,16,B,MORTGAGE,debt_consolidation,NJ,1
6,40000.0,5.0,12,D,RENT,small_business,CA,1
1,50000.0,6.0,16,C,RENT,debt_consolidation,WI,1
1,62000.0,14.0,12,D,RENT,debt_consolidation,VA,1
10,45996.0,7.0,21,B,RENT,debt_consolidation,OH,0
7,55000.0,9.0,12,B,MORTGAGE,debt_consolidation,OH,1
5,30000.0,7.0,23,D,RENT,debt_consolidation,MN,0
4,44544.0,10.0,15,C,RENT,debt_consolidation,CA,1
4,75000.0,6.0,18,F,RENT,small_business,CA,0
2,61000.0,8.0,14,C,OWN,credit_card,FL,1
5,44000.0,13.0,18,D,MORTGAGE,credit_card,GA,1
5,75000.0,9.0,23,D,RENT,debt_consolidation,CA,0
1,33600.0,4.0,12,C,RENT,debt_consolidation,AL,1
3,50000.0,13.0,12,D,RENT,credit_card,MA,1
1,150000.0,12.0,23,A,OWN,debt_consolidation,NY,1
10,90000.0,12.0,33,C,RENT,debt_consolidation,NJ,1
10,48000.0,15.0,18,C,MORTGAGE,debt_consolidation,TX,1
1,75000.0,9.0,18,F,RENT,debt_consolidation,CA,1
1,52000.0,11.0,14,A,MORTGAGE,small_business,TX,1
10,65000.0,10.0,29,E,MORTGAGE,debt_consolidation,FL,1
3,150000.0,11.0,15,D,MORTGAGE,home_improvement,NY,1
2,68000.0,9.0,12,C,RENT,credit_card,PA,1
6,42000.0,4.0,21,B,RENT,credit_card,NY,1
4,53000.0,7.0,17,A,RENT,major_purchase,CA,1
10,35000.0,10.0,18,B,RENT,credit_card,CA,1
2,60000.0,8.0,15,B,RENT,debt_consolidation,CA,1
1,42000.0,4.0,35,B,MORTGAGE,car,TX,1
9,88365.0,6.0,21,D,RENT,debt_consolidation,AZ,1
4,72000.0,11.0,15,C,RENT,debt_consolidation,CA,1
1,62000.0,10.0,16,B,RENT,credit_card,TX,1
3,43680.0,7.0,17,B,MORTGAGE,credit_card,MN,1
3,120000.0,5.0,11,E,RENT,debt_consolidation,NY,1
10,66000.0,8.0,19,B,RENT,medical,CA,1
4,39120.0,8.0,21,B,OWN,debt_consolidation,FL,1
4,47800.0,15.0,16,B,MORTGAGE,debt_consolidation,VA,1
7,45000.0,13.0,15,D,MORTGAGE,credit_card,WA,0
10,83000.0,6.0,32,A,MORTGAGE,car,IL,1
2,25000.0,7.0,20,B,RENT,debt_consolidation,CA,0
7,65000.0,8.0,21,D,RENT,debt_consolidation,KS,1
8,28800.0,11.0,13,A,OWN,debt_consolidation,NJ,1
6,135000.0,7.0,21,B,RENT,credit_card,NY,1
7,50000.0,8.0,13,A,MORTGAGE,credit_card,TX,1
10,38000.0,6.0,13,D,RENT,debt_consolidation,TX,0
10,45000.0,5.0,28,B,RENT,debt_consolidation,CA,1
10,80000.0,8.0,16,C,RENT,debt_consolidation,CA,1
5,50000.0,6.0,14,C,RENT,debt_consolidation,AZ,1
10,30000.0,12.0,23,B,MORTGAGE,vacation,LA,1
8,110000.0,7.0,23,A,MORTGAGE,small_business,CT,1
8,45608.0,7.0,26,A,OWN,debt_consolidation,LA,1
3,120000.0,13.0,12,F,MORTGAGE,debt_consolidation,FL,1
5,35000.0,7.0,15,B,MORTGAGE,debt_consolidation,IL,1
1,75000.0,9.0,21,D,RENT,credit_card,CA,0
9,35000.0,7.0,12,B,MORTGAGE,credit_card,NV,1
6,24000.0,6.0,18,A,RENT,debt_consolidation,CA,1
2,126000.0,17.0,28,B,MORTGAGE,debt_consolidation,OH,1
1,43000.0,8.0,15,A,RENT,debt_consolidation,CA,1
1,50000.0,11.0,18,B,RENT,debt_consolidation,CA,1
10,67000.0,6.0,18,C,MORTGAGE,credit_card,AK,0
4,45000.0,12.0,17,B,RENT,debt_consolidation,OR,0
3,31200.0,13.0,12,B,RENT,debt_consolidation,NY,1
4,66000.0,11.0,17,B,RENT,debt_consolidation,NV,1
10,52000.0,10.0,29,E,RENT,debt_consolidation,TX,0
10,56964.0,7.0,19,A,RENT,debt_consolidation,CA,1
7,49500.0,7.0,13,C,RENT,debt_consolidation,FL,1
10,70000.0,17.0,26,E,RENT,credit_card,CO,1
6,125000.0,8.0,17,A,MORTGAGE,debt_consolidation,CA,1
3,33000.0,9.0,13,A,RENT,credit_card,NJ,1
1,30000.0,7.0,13,B,RENT,credit_card,VA,1
8,90000.0,9.0,23,C,MORTGAGE,home_improvement,CA,0
5,23000.0,9.0,13,A,MORTGAGE,medical,OR,1
2,24000.0,5.0,12,C,RENT,debt_consolidation,PA,1
10,62000.0,7.0,19,A,RENT,credit_card,MD,1
4,44000.0,7.0,17,A,RENT,debt_consolidation,GA,1
1,90000.0,10.0,11,B,RENT,credit_card,NJ,1
10,41000.0,8.0,27,A,RENT,credit_card,PA,0
2,56000.0,11.0,18,B,MORTGAGE,debt_consolidation,CA,1
5,26500.0,6.0,18,A,MORTGAGE,small_business,WV,1
1,54000.0,9.0,11,E,RENT,debt_consolidation,GA,1
2,53000.0,15.0,15,B,RENT,other,MD,1
4,52800.0,9.0,13,C,RENT,debt_consolidation,CA,1
1,38000.0,13.0,25,A,MORTGAGE,debt_consolidation,GA,1
7,38000.0,3.0,21,B,RENT,debt_consolidation,CA,1
2,42000.0,8.0,12,B,RENT,debt_consolidation,MN,0
4,55000.0,8.0,14,E,RENT,debt_consolidation,WA,1
8,60000.0,6.0,27,E,MORTGAGE,debt_consolidation,GA,1
6,87000.0,12.0,18,B,MORTGAGE,home_improvement,NJ,1
5,25000.0,6.0,14,D,OWN,debt_consolidation,IL,1
1,82000.0,13.0,23,C,RENT,credit_card,OH,1
8,60000.0,8.0,17,B,RENT,debt_consolidation,CA,0
5,80000.0,8.0,16,D,MORTGAGE,credit_card,GA,1
10,25000.0,7.0,16,C,RENT,credit_card,CA,0
5,48000.0,7.0,11,B,RENT,major_purchase,IL,1
1,85000.0,8.0,19,C,MORTGAGE,debt_consolidation,AZ,0
1,57000.0,7.0,19,C,RENT,debt_consolidation,CA,1
2,25000.0,6.0,12,A,RENT,credit_card,MD,1
2,34000.0,6.0,12,B,RENT,credit_card,PA,1
10,40000.0,10.0,14,B,RENT,credit_card,OR,1
10,42656.4,4.0,16,C,RENT,debt_consolidation,GA,1
2,44400.0,6.0,35,D,MORTGAGE,house,FL,1
2,30000.0,8.0,23,B,OWN,debt_consolidation,VT,1
5,70000.0,9.0,23,A,MORTGAGE,credit_card,NY,1
3,28000.0,8.0,11,C,RENT,car,CA,1
2,50000.0,17.0,19,B,MORTGAGE,debt_consolidation,MI,1
10,94800.0,13.0,32,C,MORTGAGE,car,TX,1
10,40000.0,6.0,25,B,OWN,debt_consolidation,FL,1
0,12000.0,13.0,23,A,OWN,debt_consolidation,CA,0
2,36000.0,13.0,38,B,MORTGAGE,credit_card,DC,1
2,225000.0,11.0,14,B,RENT,debt_consolidation,NJ,1
2,45900.0,10.0,13,C,RENT,small_business,CA,1
4,27200.0,6.0,10,C,RENT,debt_consolidation,WA,1
1,42000.0,12.0,22,B,RENT,debt_consolidation,FL,1
5,135000.0,11.0,14,B,RENT,credit_card,NY,1
5,65000.0,12.0,18,C,RENT,small_business,CA,0
1,24000.0,4.0,13,D,RENT,debt_consolidation,IL,0
6,70000.0,10.0,15,F,RENT,debt_consolidation,FL,0
10,65000.0,6.0,15,B,RENT,debt_consolidation,NY,1
3,60000.0,7.0,27,B,RENT,debt_consolidation,CA,0
3,30000.0,7.0,11,B,RENT,credit_card,CT,1
10,43000.0,7.0,19,B,RENT,debt_consolidation,CA,1
10,42000.0,10.0,16,D,RENT,debt_consolidation,WI,0
8,75000.0,10.0,27,D,RENT,debt_consolidation,CA,0
10,129000.0,10.0,20,C,MORTGAGE,debt_consolidation,CA,1
2,168000.0,16.0,15,B,MORTGAGE,debt_consolidation,TX,1
9,74000.0,7.0,19,B,MORTGAGE,credit_card,SD,1
7,52000.0,7.0,28,C,MORTGAGE,debt_consolidation,NH,1
1,58500.0,8.0,23,B,RENT,debt_consolidation,IL,0
5,71000.0,4.0,19,B,RENT,debt_consolidation,VA,1
10,75000.0,10.0,22,B,RENT,debt_consolidation,WA,1
5,60000.0,12.0,16,B,RENT,credit_card,CA,1
5,87996.0,8.0,14,D,RENT,major_purchase,NY,1
5,140000.0,13.0,12,D,MORTGAGE,home_improvement,NC,1
10,66000.0,7.0,18,A,RENT,debt_consolidation,VA,1
8,70000.0,7.0,12,C,MORTGAGE,other,NY,0
10,100000.0,8.0,31,B,MORTGAGE,debt_consolidation,RI,1
5,50000.0,13.0,16,B,RENT,debt_consolidation,NY,1
4,35000.0,11.0,15,B,RENT,debt_consolidation,OH,1
6,75000.0,7.0,19,C,RENT,debt_consolidation,CA,1
5,71000.0,4.0,14,C,RENT,medical,WI,1
10,48000.0,5.0,12,B,MORTGAGE,debt_consolidation,AR,1
5,36000.0,7.0,19,C,RENT,debt_consolidation,FL,1
10,86000.0,12.0,24,B,MORTGAGE,debt_consolidation,CA,0
3,30000.0,7.0,10,D,RENT,debt_consolidation,CA,0
2,60000.0,7.0,15,B,RENT,debt_consolidation,CA,1
3,34000.0,9.0,13,A,RENT,credit_card,OH,1
10,44200.0,9.0,13,C,MORTGAGE,credit_card,CA,1
7,82000.0,6.0,16,B,MORTGAGE,debt_consolidation,MD,1
6,83000.0,12.0,27,E,MORTGAGE,debt_consolidation,NM,1
2,41000.0,7.0,14,C,RENT,moving,TX,1
1,36000.0,17.0,25,C,MORTGAGE,credit_card,KS,1
10,35000.0,7.0,17,C,RENT,debt_consolidation,TX,0
1,30000.0,11.0,13,C,RENT,credit_card,CT,1
1,40000.0,7.0,17,A,RENT,home_improvement,PA,1
9,105000.0,10.0,26,B,MORTGAGE,credit_card,TX,1
4,45000.0,14.0,13,C,MORTGAGE,credit_card,FL,1
10,109000.0,9.0,44,D,MORTGAGE,debt_consolidation,NJ,1
2,83000.0,14.0,16,B,RENT,debt_consolidation,CA,1
1,52500.0,14.0,19,B,MORTGAGE,moving,CA,0
1,25000.0,5.0,28,C,OWN,debt_consolidation,AZ,1
10,60000.0,15.0,22,C,MORTGAGE,debt_consolidation,FL,1
7,120000.0,7.0,18,G,MORTGAGE,debt_consolidation,AZ,1
3,68000.0,5.0,16,A,RENT,debt_consolidation,GA,0
10,53000.0,5.0,19,D,MORTGAGE,home_improvement,NC,0
6,69600.0,10.0,38,B,MORTGAGE,credit_card,WA,0
1,65000.0,10.0,15,A,RENT,major_purchase,CA,1
10,144000.0,6.0,21,D,MORTGAGE,debt_consolidation,CA,1
2,75000.0,8.0,11,B,RENT,credit_card,NY,1
7,29000.0,5.0,12,B,MORTGAGE,debt_consolidation,AZ,1
2,70000.0,5.0,17,B,RENT,credit_card,CA,0
5,45000.0,15.0,37,A,RENT,credit_card,OH,1
5,55200.0,6.0,15,B,MORTGAGE,other,WA,1
7,61440.0,6.0,21,A,MORTGAGE,vacation,CA,1
10,56000.0,7.0,18,A,MORTGAGE,debt_consolidation,FL,1
1,47000.0,6.0,17,A,RENT,debt_consolidation,IL,1
1,55000.0,9.0,17,F,RENT,debt_consolidation,WA,1
1,71000.0,15.0,19,C,RENT,credit_card,KS,1
10,50000.0,8.0,15,B,RENT,vacation,NY,0
8,135000.0,14.0,15,B,RENT,credit_card,CA,1
10,63000.0,5.0,24,B,MORTGAGE,credit_card,GA,1
5,50000.0,8.0,15,C,MORTGAGE,debt_consolidation,NM,1
5,80000.0,11.0,17,B,RENT,debt_consolidation,TX,1
4,45000.0,14.0,13,B,RENT,debt_consolidation,WA,1
2,78000.0,16.0,12,A,RENT,vacation,NY,1
1,33000.0,12.0,20,B,RENT,debt_consolidation,OR,1
5,62800.0,10.0,23,B,RENT,debt_consolidation,WA,1
3,26400.0,8.0,11,D,RENT,small_business,TX,1
10,80000.0,30.0,21,E,MORTGAGE,vacation,NC,1
2,25000.0,5.0,13,B,RENT,debt_consolidation,CO,0
10,65000.0,8.0,36,A,MORTGAGE,debt_consolidation,TX,1
10,59000.0,10.0,26,A,OWN,car,PA,1
1,33000.0,13.0,20,B,RENT,debt_consolidation,CA,1
10,39000.0,7.0,19,B,RENT,credit_card,MO,0
10,42000.0,7.0,24,A,RENT,debt_consolidation,OH,1
5,38004.0,12.0,11,B,MORTGAGE,home_improvement,MI,1
3,31000.0,13.0,12,B,OWN,other,OR,1
10,50700.0,10.0,21,A,MORTGAGE,other,NC,1
1,75000.0,9.0,27,B,OWN,credit_card,LA,1
2,30000.0,8.0,15,C,MORTGAGE,debt_consolidation,MT,1
6,40000.0,8.0,18,C,RENT,debt_consolidation,GA,1
10,50000.0,5.0,19,C,MORTGAGE,credit_card,CA,1
7,80000.0,8.0,25,A,MORTGAGE,other,WI,1
4,40000.0,9.0,19,B,RENT,debt_consolidation,MD,1
7,80000.0,8.0,14,A,RENT,other,CA,0
2,75000.0,7.0,17,B,RENT,debt_consolidation,CA,1
8,85000.0,16.0,23,E,MORTGAGE,debt_consolidation,IL,1
1,28800.0,5.0,15,A,RENT,other,FL,1
10,35000.0,6.0,16,C,RENT,small_business,NC,0
9,61200.0,5.0,18,B,RENT,debt_consolidation,CA,1
1,40000.0,4.0,21,A,RENT,medical,CA,1
1,25920.0,8.0,17,B,RENT,debt_consolidation,CA,0
9,54000.0,6.0,19,A,MORTGAGE,home_improvement,NJ,1
10,18000.0,5.0,17,A,RENT,small_business,MI,1
5,85000.0,7.0,17,A,RENT,debt_consolidation,IL,1
5,78000.0,6.0,19,A,RENT,credit_card,NY,1
10,45600.0,5.0,26,A,OWN,debt_consolidation,WV,0
2,70000.0,14.0,14,B,RENT,debt_consolidation,TX,1
4,70000.0,10.0,18,C,RENT,credit_card,IL,1
9,80000.0,7.0,30,A,MORTGAGE,debt_consolidation,MA,1
5,50000.0,8.0,12,A,RENT,debt_consolidation,NJ,1
10,35000.0,10.0,19,B,MORTGAGE,debt_consolidation,CO,1
3,65000.0,10.0,16,A,MORTGAGE,debt_consolidation,MI,1
10,75000.0,13.0,15,C,MORTGAGE,debt_consolidation,WV,1
6,35000.0,10.0,15,B,RENT,debt_consolidation,VA,1
6,40000.0,7.0,18,B,RENT,debt_consolidation,FL,1
1,100000.0,10.0,16,B,MORTGAGE,house,FL,1
7,40000.0,12.0,16,A,OWN,debt_consolidation,NJ,1
10,52000.0,8.0,19,D,RENT,debt_consolidation,NY,1
3,92500.0,11.0,12,B,RENT,debt_consolidation,CA,1
9,61000.0,5.0,22,B,RENT,debt_consolidation,CA,1
10,36000.0,5.0,21,B,RENT,other,HI,1
10,68000.0,7.0,27,A,MORTGAGE,credit_card,CA,1
1,80000.0,10.0,22,B,RENT,credit_card,CA,1
10,43000.0,13.0,18,B,RENT,credit_card,NY,1
1,150000.0,5.0,22,B,RENT,credit_card,NY,1
5,50000.0,9.0,12,D,RENT,credit_card,NV,0
3,70000.0,7.0,12,B,RENT,small_business,TX,0
6,40000.0,7.0,17,D,OWN,home_improvement,CA,0
2,35000.0,16.0,13,B,OWN,credit_card,PA,1
6,80000.0,8.0,15,C,RENT,debt_consolidation,CA,1
10,59000.0,16.0,17,E,OWN,debt_consolidation,AK,0
10,40000.0,7.0,16,D,RENT,credit_card,NY,1
5,85000.0,11.0,14,E,RENT,debt_consolidation,NJ,1
1,55000.0,7.0,16,A,RENT,debt_consolidation,OR,1
6,110000.0,8.0,17,B,RENT,debt_consolidation,CA,1
5,100000.0,7.0,17,B,RENT,credit_card,WI,1
3,62000.0,9.0,17,C,RENT,debt_consolidation,MA,1
1,45000.0,8.0,36,A,RENT,debt_consolidation,GA,1
5,110000.0,8.0,18,B,RENT,debt_consolidation,FL,1
3,60000.0,17.0,20,E,RENT,credit_card,CA,0
10,61500.0,11.0,18,E,RENT,debt_consolidation,NY,0
3,33000.0,6.0,18,B,RENT,other,NY,1
3,61000.0,7.0,14,A,RENT,credit_card,NJ,1
10,78216.0,8.0,23,C,OWN,debt_consolidation,CA,0
1,62000.0,8.0,29,D,MORTGAGE,debt_consolidation,VA,0
2,50964.0,7.0,14,D,RENT,debt_consolidation,GA,1
3,43680.0,17.0,17,C,RENT,credit_card,CO,1
5,50700.0,12.0,14,B,RENT,credit_card,NJ,1
0,60000.0,11.0,15,D,MORTGAGE,debt_consolidation,AL,1
2,30000.0,8.0,17,B,RENT,debt_consolidation,SC,0
5,50000.0,7.0,14,A,RENT,other,VA,1
10,75000.0,9.0,26,E,RENT,debt_consolidation,WY,1
10,55000.0,10.0,20,B,RENT,debt_consolidation,RI,0
10,50000.0,6.0,15,C,MORTGAGE,other,MA,1
3,84000.0,8.0,11,C,RENT,debt_consolidation,CA,1
6,155000.0,14.0,28,B,OWN,debt_consolidation,GA,1
1,62000.0,10.0,16,A,MORTGAGE,debt_consolidation,MD,1
2,30000.0,6.0,26,B,RENT,credit_card,NY,1
8,208000.0,11.0,25,D,MORTGAGE,debt_consolidation,MD,1
2,35004.0,13.0,14,C,MORTGAGE,home_improvement,NY,1
5,32000.0,11.0,16,B,RENT,credit_card,FL,0
10,116400.0,14.0,25,A,MORTGAGE,car,FL,0
9,40000.0,8.0,15,B,MORTGAGE,debt_consolidation,IL,1
7,34000.0,7.0,15,C,RENT,credit_card,MD,1
5,73000.0,16.0,23,C,MORTGAGE,debt_consolidation,IL,1
10,57200.0,11.0,18,B,RENT,debt_consolidation,MA,0
1,114000.0,17.0,20,D,MORTGAGE,debt_consolidation,MO,1
10,90000.0,15.0,18,B,MORTGAGE,debt_consolidation,NY,1
8,54000.0,9.0,14,E,MORTGAGE,home_improvement,NC,1
2,35000.0,10.0,18,B,RENT,debt_consolidation,KY,0
7,56000.0,14.0,29,C,RENT,debt_consolidation,FL,1
5,35000.0,8.0,21,B,RENT,debt_consolidation,NC,1
10,40000.0,11.0,16,A,MORTGAGE,debt_consolidation,NY,1
2,59000.0,13.0,28,D,OWN,debt_consolidation,MO,1
6,48000.0,7.0,12,A,RENT,debt_consolidation,FL,1
10,85000.0,7.0,24,A,OWN,major_purchase,NV,1
10,70000.0,6.0,16,C,MORTGAGE,credit_card,TX,1
4,35000.0,9.0,21,A,RENT,debt_consolidation,HI,0
6,91000.0,13.0,34,C,MORTGAGE,credit_card,VA,1
9,30000.0,7.0,18,A,MORTGAGE,other,CA,1
4,45000.0,21.0,22,C,RENT,debt_consolidation,NY,1
1,55000.0,11.0,12,A,RENT,debt_consolidation,FL,1
10,60000.0,12.0,17,E,RENT,credit_card,CA,0
8,82000.0,7.0,15,C,OWN,debt_consolidation,CA,1
10,53000.0,9.0,18,C,RENT,debt_consolidation,CA,1
5,35360.0,9.0,12,B,MORTGAGE,debt_consolidation,PA,0
10,54000.0,9.0,20,B,RENT,debt_consolidation,FL,1
5,65000.0,15.0,11,B,RENT,credit_card,CA,1
6,28800.0,10.0,19,A,OWN,debt_consolidation,CA,1
1,42000.0,3.0,10,D,RENT,credit_card,OH,1
3,36000.0,9.0,17,B,RENT,debt_consolidation,TX,1
2,40000.0,8.0,19,B,RENT,debt_consolidation,NJ,1
4,50000.0,11.0,24,B,RENT,credit_card,GA,1
1,52000.0,6.0,13,B,RENT,credit_card,CA,1
3,85000.0,7.0,12,E,MORTGAGE,credit_card,VA,1
3,32000.0,9.0,12,A,RENT,debt_consolidation,OR,0
6,75000.0,9.0,32,A,OWN,debt_consolidation,FL,1
1,80000.0,10.0,12,C,RENT,credit_card,NY,1
7,40246.0,7.0,18,A,MORTGAGE,credit_card,AZ,1
3,30000.0,7.0,14,B,OWN,debt_consolidation,NJ,0
1,36000.0,4.0,11,B,RENT,debt_consolidation,WA,0
6,60000.0,11.0,19,B,RENT,debt_consolidation,CA,1
3,31200.0,14.0,12,B,RENT,credit_card,CA,1
10,90000.0,13.0,19,B,RENT,credit_card,MD,1
4,40000.0,5.0,25,A,RENT,debt_consolidation,MO,1
1,90000.0,11.0,15,B,RENT,credit_card,PA,1
9,105000.0,9.0,27,B,MORTGAGE,home_improvement,TX,1
1,30084.0,6.0,24,A,RENT,debt_consolidation,KY,0
10,36000.0,5.0,15,B,MORTGAGE,car,MI,1
4,67000.0,14.0,26,D,RENT,credit_card,CA,1
10,63000.0,12.0,18,D,MORTGAGE,debt_consolidation,FL,1
1,276000.0,7.0,14,A,RENT,debt_consolidation,FL,1
6,26400.0,4.0,24,B,RENT,debt_consolidation,OH,1
0,24000.0,4.0,13,B,RENT,home_improvement,FL,1
3,68400.0,5.0,18,B,MORTGAGE,debt_consolidation,FL,1
1,29120.0,5.0,18,C,RENT,debt_consolidation,WI,1
1,29120.0,6.0,17,D,RENT,debt_consolidation,WI,1
10,89122.0,17.0,22,C,MORTGAGE,major_purchase,NV,1
4,54000.0,10.0,26,C,MORTGAGE,debt_consolidation,NJ,1
5,30000.0,6.0,17,A,MORTGAGE,debt_consolidation,AR,1
4,30000.0,5.0,15,C,MORTGAGE,credit_card,WA,1
10,50000.0,10.0,19,C,RENT,credit_card,CT,1
6,92000.0,17.0,30,F,MORTGAGE,home_improvement,CT,1
10,100500.0,8.0,16,C,MORTGAGE,credit_card,NJ,1
3,40000.0,7.0,11,C,RENT,debt_consolidation,CA,1
5,47000.0,7.0,24,B,MORTGAGE,credit_card,FL,1
3,68000.0,11.0,22,D,MORTGAGE,debt_consolidation,FL,1
8,95000.0,9.0,17,F,MORTGAGE,debt_consolidation,MI,1
4,39600.0,8.0,19,A,RENT,credit_card,CA,1
3,30000.0,11.0,15,C,OWN,debt_consolidation,CA,1
1,30000.0,11.0,35,A,RENT,debt_consolidation,KY,1
1,17000.0,10.0,10,E,RENT,other,OH,0
3,42000.0,4.0,15,B,RENT,debt_consolidation,PA,1
10,75000.0,10.0,22,C,RENT,debt_consolidation,CA,0
4,42000.0,5.0,11,B,RENT,credit_card,MA,1
3,27000.0,12.0,16,C,MORTGAGE,debt_consolidation,NY,1
5,46000.0,12.0,16,A,MORTGAGE,home_improvement,WA,1
10,80000.0,8.0,17,B,MORTGAGE,debt_consolidation,NC,1
3,45000.0,7.0,21,A,MORTGAGE,debt_consolidation,CA,1
2,72500.0,7.0,18,A,RENT,credit_card,NY,1
0,18408.0,3.0,25,C,RENT,major_purchase,NJ,0
2,30000.0,8.0,17,A,RENT,debt_consolidation,TX,1
9,50000.0,15.0,13,C,RENT,debt_consolidation,PA,0
9,75000.0,9.0,24,E,RENT,debt_consolidation,FL,1
5,65000.0,20.0,15,C,MORTGAGE,other,NY,1
10,65000.0,10.0,20,A,MORTGAGE,major_purchase,TX,1
4,120000.0,7.0,21,B,MORTGAGE,home_improvement,NJ,1
5,42500.0,7.0,15,D,MORTGAGE,debt_consolidation,MO,1
2,75000.0,10.0,40,C,MORTGAGE,debt_consolidation,NY,0
8,195000.0,17.0,22,E,RENT,debt_consolidation,WA,1
4,54990.0,16.0,16,C,RENT,debt_consolidation,TX,1
1,40000.0,6.0,18,B,RENT,debt_consolidation,AZ,0
2,137000.0,11.0,26,A,MORTGAGE,debt_consolidation,TX,1
10,60000.0,13.0,23,D,RENT,debt_consolidation,CA,0
3,30120.0,8.0,14,D,RENT,debt_consolidation,NY,1
1,46000.0,7.0,15,A,RENT,credit_card,VA,1
8,135000.0,11.0,18,B,MORTGAGE,debt_consolidation,OH,1
0,31500.0,17.0,36,A,MORTGAGE,debt_consolidation,MD,1
10,65000.0,10.0,16,B,RENT,credit_card,CA,1
2,78000.0,8.0,26,A,MORTGAGE,debt_consolidation,TX,1
5,60000.0,6.0,22,A,MORTGAGE,other,AZ,1
10,48000.0,7.0,18,A,RENT,credit_card,UT,1
1,25000.0,13.0,19,A,RENT,debt_consolidation,IL,1
3,82000.0,14.0,29,A,MORTGAGE,debt_consolidation,CA,1
10,82000.0,12.0,37,E,MORTGAGE,credit_card,CA,1
5,42000.0,13.0,17,A,MORTGAGE,debt_consolidation,OK,1
3,27600.0,4.0,17,D,RENT,debt_consolidation,CA,1
5,38000.0,11.0,16,B,MORTGAGE,credit_card,OH,1
4,35000.0,7.0,14,D,RENT,debt_consolidation,CA,1
10,33000.0,5.0,27,B,OWN,credit_card,CA,1
10,52800.0,8.0,14,B,MORTGAGE,medical,NV,1
10,73882.0,10.0,25,B,RENT,debt_consolidation,PA,1
